leonmerjasec	2020-01-15 15:56:54	2020-03-11 10:57:22
JaniModern	2019-12-31 23:56:32	2020-01-16 08:27:57
AlexRebersek		
jozefhorvat	2019-12-31 17:27:09	2020-01-06 19:15:13
VojkoStarovic	2020-11-01 21:17:23	
zmagoplemeniti	2020-01-04 17:33:49	2020-01-17 23:05:35
lenartjoze	2020-04-18 12:21:20	2020-04-15 16:27:17
KDanijel	2020-02-09 11:32:58	2020-11-20 22:03:23
ANJABAHZIBERT	2019-12-31 15:03:21	2019-12-30 22:17:50
DoblekarBoris	2020-01-27 10:44:51	2020-11-01 11:00:45
EvaIrglL	2020-01-24 22:49:59	2019-12-31 09:14:32
DKaloh	2020-01-03 19:09:41	2019-12-31 18:31:37
lepsimenko	2020-02-05 08:47:10	2019-12-30 22:17:50
PojbicMarijan	2020-01-13 23:58:21	2019-12-31 13:25:24
TankoJoze	2020-01-04 08:38:21	2019-12-31 14:27:18
Karmen_Furman	2020-02-08 21:27:52	2020-01-03 09:11:57
TomazLisec	2019-12-31 12:03:13	2020-03-21 20:24:05
b_podkrajsek		2020-12-27 15:50:59
Franc_Rosec	2020-02-11 21:45:53	2020-01-07 11:44:54
NadaBrinovsek		
BrankoGrims1	2019-12-31 09:19:30	2020-01-01 09:09:08
AlenkaJerajSDS	2020-01-01 17:37:37	2020-09-17 18:22:37
mpogacnik	2020-01-03 17:25:07	2020-02-03 18:27:15
brangolubovic	2020-01-18 22:10:26	2020-01-09 22:26:37
IgorPecek		
EdvardPaulic		
Je_rca	2020-02-17 16:49:10	2020-01-05 20:06:55
AndrejaZabret	2020-01-05 07:58:20	2020-01-21 16:32:44
LidijaDM	2020-01-08 18:34:11	2020-01-10 07:50:27
KovacicAljaz	2020-03-03 13:00:24	2019-12-31 18:14:06
markokoprivc	2020-04-09 16:08:02	2020-03-16 13:01:36
JaniPrednik	2019-12-31 19:02:15	2020-01-05 20:31:22
Soniboj1	2020-09-21 18:03:10	2020-04-10 10:24:46
BMursic		
ZidanDejan	2020-01-01 17:03:41	2019-12-31 07:55:46
GregorPeric	2020-01-05 21:26:55	2020-01-20 07:05:19
JanjaSl	2020-01-01 20:19:24	2019-12-27 16:49:00
IgorZorcic	2020-01-03 07:55:06	2020-01-07 15:08:33
Bane_Rajic	2020-01-22 16:33:23	2020-02-19 16:12:28
mojca1a	2020-01-19 17:32:12	2019-12-31 10:20:55
IvanHrsak	2020-02-15 08:59:02	
Matej_T_Vatovec	2020-02-10 15:30:58	2020-01-09 14:53:44
LukaMesec	2020-01-01 17:34:09	2020-01-09 10:39:05
PRSiter	2020-01-29 12:28:31	2020-03-21 11:46:45
bukeff	2020-01-03 16:44:28	2020-01-11 12:06:13
MatjaNemec	2019-12-31 22:29:39	2020-03-19 15:42:04
udovcmateja	2020-01-01 11:00:17	2020-02-17 13:47:18
blazpavlin	2020-04-03 11:35:58	2020-01-08 15:07:00
mgregorcic	2020-01-28 09:14:10	2020-01-09 17:05:16
masakociper	2020-01-29 21:31:02	2020-01-01 13:51:43
bandellimarko	2020-01-01 08:19:50	2020-01-28 06:19:03
ivanusalidija	2020-01-30 20:49:05	2020-03-13 18:31:14
sustartadeja	2020-02-12 10:21:31	2020-01-06 19:15:13
sarecmarjan	2019-12-31 18:14:06	2020-01-08 04:53:23
mojcaskrinjar	2019-12-31 12:17:32	2020-09-26 10:33:27
Rudi_Medved	2019-12-31 14:21:55	2020-01-06 15:51:06
ElenaUsaj	2020-09-19 01:05:13	2020-09-22 12:47:27
LjuboZnidar		
cernigoj_andrej	2020-01-03 12:24:41	2020-01-14 17:43:59
JureFerjan	2020-01-17 09:22:30	2020-06-08 13:09:02
prebil_nik	2020-04-24 15:44:56	2020-04-28 21:51:14
FrancBreznikSDS	2019-12-31 20:37:54	2019-12-30 18:02:14
JJansaSDS	2019-12-31 18:31:37	2020-12-18 20:25:35
drvinkogorenak	2019-12-31 12:34:08	2020-04-21 18:23:14
zanmahnic	2019-12-31 13:20:06	2020-01-02 10:21:23
jelka_godec	2019-12-31 07:44:13	2019-12-31 12:03:21
petersuhel	2020-02-01 13:48:21	2020-01-09 10:12:39
matejtonin	2020-01-03 12:41:14	2020-08-16 10:20:51
lampreturos	2020-04-04 15:58:14	2020-03-18 23:30:20
jciglerkralj	2020-01-15 10:19:00	2020-01-03 12:41:14
asircelj		2021-01-12 17:30:34
pocivalsekz	2019-12-31 12:25:20	2020-01-15 16:01:43
zajc_si	2020-01-06 21:05:36	2020-02-17 19:43:20
drkustec	2020-03-17 21:04:07	2020-03-18 07:09:40
JernejVrtovec	2020-01-13 18:38:31	2020-01-14 19:02:00
bkosorok	2020-03-15 16:21:18	2020-07-16 16:45:36
alesmihelic	2020-04-10 20:28:01	2020-04-09 19:27:21
bostjankoritnik	2020-03-18 14:31:11	2020-03-17 16:23:02
pgersak	2020-01-24 20:45:44	
apivec	2020-01-01 00:14:46	2019-12-30 06:40:57
aleshojs	2019-12-31 08:20:02	2020-02-03 13:33:52
kanglerfranc	2020-01-03 08:23:31	2019-12-30 18:01:09
dr_olaj	2020-01-16 13:41:10	2021-01-22 18:45:50
tomazgantar	2020-03-16 22:26:39	2020-03-16 15:36:06
zlatkoratej		
anzelog	2020-02-10 13:55:26	2019-12-30 22:17:50
tkajzer	2020-01-03 06:48:36	2020-01-02 06:58:14
