24ur_com	2019-12-31 07:38:40	2020-06-21 23:18:01
aacemace	2020-01-01 17:17:10	2020-03-23 16:50:11
ajezersek	2020-01-04 22:11:49	2019-12-31 06:33:14
andrejamarkoja	2020-03-26 16:22:38	2020-09-04 14:05:13
avathomas20	2020-02-28 08:00:28	2019-12-31 06:55:50
avtomagazinsi	2019-12-31 16:30:25	2020-05-09 23:36:47
backo007	2020-01-27 07:49:16	2019-12-30 05:56:05
bicikelcom	2020-01-08 09:39:17	2020-01-27 17:42:39
blatusi	2020-01-01 11:16:34	2020-01-10 16:34:37
blazumek	2020-01-13 14:50:20	2020-01-30 19:07:47
borutk9191	2020-01-01 12:02:37	2020-01-13 11:11:03
branem	2020-01-01 15:44:01	2020-01-18 07:13:40
civkaci66	2020-09-09 16:35:57	2020-09-09 17:27:42
cosmopolitansi	2019-12-31 07:00:35	
dbbonjovi	2020-01-01 22:00:10	2020-01-17 17:36:30
dejansarka	2019-12-31 20:20:58	2020-01-11 14:20:08
delo	2019-12-31 06:00:00	2020-11-30 10:04:41
delo_sport	2020-02-17 14:22:09	2020-02-18 10:24:41
demokracija1	2019-12-31 08:23:34	2020-10-16 22:18:41
dissidente__	2019-12-31 02:21:50	2020-10-25 09:06:06
dnevnelazi		
dnevnik_si	2019-12-31 08:50:36	2020-09-05 20:30:21
dolinara	2020-09-14 12:17:53	2020-11-01 01:35:40
dragiceviccv		
dragozagode	2020-09-04 11:53:51	2020-12-17 08:34:26
dujesantiago	2019-12-31 10:32:31	2020-01-25 20:37:43
elektro_maribor	2020-01-06 13:42:31	
finance_si	2019-12-31 10:43:41	2020-06-30 10:43:11
ginger_ranger	2020-01-01 16:31:42	2020-01-05 20:14:22
gnesnovice	2020-08-23 12:44:42	
govorise	2019-12-31 07:15:49	
grcar12	2020-01-20 17:50:12	2020-01-01 22:11:47
igorc73	2020-01-06 19:35:10	2020-02-01 16:24:08
iks_tweet	2020-01-11 19:18:02	2020-08-24 02:06:37
insajder_com	2019-12-31 09:22:38	2020-08-23 14:16:33
ivofridolin	2020-01-01 16:48:23	2020-02-11 16:34:23
iztokgartner	2020-02-23 00:37:22	2020-02-23 11:43:20
janabajzelj	2020-11-20 14:15:22	2020-01-08 15:16:36
janospap1	2020-01-21 20:17:01	
jartierka		
jazzersky	2020-01-02 09:51:22	2020-01-28 14:49:48
jernejvlasic	2020-01-30 19:32:30	2020-04-11 14:13:29
jnchimera	2020-03-27 12:28:53	2020-04-03 17:31:04
juni_junij	2020-07-01 21:15:58	2016-06-21 02:52:20
katjaem	2020-01-22 19:36:20	2020-01-27 17:12:47
kenrut0	2020-01-17 21:44:14	2020-06-22 22:16:19
kingkongteater	2020-09-12 18:18:01	
kkcedol	2019-12-31 10:11:42	2020-01-03 10:30:00
kl3p3r	2019-12-31 15:25:35	2019-12-31 15:17:04
kleopatka74	2019-12-31 10:25:12	2020-01-03 19:49:15
